date,rak,total,Male,Female,kid,teen,adult,elder
2025-07-10,Automotive,2,0,2,0,1,1,0
2025-07-10,Automotive,1,0,1,1,0,0,0
2025-07-10,Automotive,1,1,0,0,0,0,1
2025-07-10,Automotive,2,0,2,0,2,0,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,2,2,0,0,0,2,0
2025-07-10,Automotive,2,2,0,0,1,1,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,1,0,1,1,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,1,1,0,1,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,2,2,0,2,0,0,0
2025-07-10,Automotive,2,2,0,0,0,2,0
2025-07-10,Automotive,4,2,2,0,1,2,1
2025-07-10,Automotive,3,3,0,0,0,3,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,4,4,0,2,1,1,0
2025-07-10,Automotive,2,2,0,1,0,1,0
2025-07-10,Automotive,2,2,0,1,0,1,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,3,3,0,0,1,2,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,2,2,0,1,0,1,0
2025-07-10,Automotive,2,2,0,2,0,0,0
2025-07-10,Automotive,2,2,0,0,0,2,0
2025-07-10,Automotive,1,1,0,1,0,0,0
2025-07-10,Automotive,1,1,0,0,0,1,0
2025-07-10,Automotive,2,2,0,1,0,1,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,Automotive,0,0,0,0,0,0,0
2025-07-10,electronics,3,3,0,1,0,2,0
2025-07-10,electronics,2,2,0,0,0,2,0
2025-07-10,electronics,2,2,0,0,1,1,0
2025-07-10,electronics,2,2,0,0,0,2,0
2025-07-10,electronics,2,2,0,0,0,2,0
2025-07-10,electronics,2,2,0,0,0,2,0
2025-07-10,electronics,2,2,0,0,1,1,0
2025-07-10,electronics,3,3,0,0,3,0,0
2025-07-10,food,3,3,0,1,0,0,2
2025-07-10,food,2,0,2,0,0,0,2
2025-07-10,food,4,2,2,0,1,3,0
2025-07-10,food,2,1,1,0,0,2,0
2025-07-10,food,4,4,0,0,2,2,0
2025-07-10,food,3,3,0,0,1,2,0
2025-07-10,food,1,1,0,0,1,0,0
