date,category,total_visitors,total_sales,conversion_rate,insight
2025-07-10,electronics,3,72.0,24.0,Produk Wajib
2025-07-10,food,3,0.0,0.0,Peluang Terlewatkan
2025-07-11,electronics,2,34.0,17.0,Produk Wajib
2025-07-11,food,2,0.0,0.0,Produk Wajib
2025-07-12,electronics,2,54.0,27.0,Produk Wajib
2025-07-12,food,4,0.0,0.0,Peluang Terlewatkan
2025-07-13,electronics,2,45.0,22.5,Produk Wajib
2025-07-13,food,2,0.0,0.0,Produk Wajib
2025-07-14,electronics,2,65.0,32.5,Produk Wajib
2025-07-14,food,4,0.0,0.0,Peluang Terlewatkan
2025-07-15,electronics,2,61.0,30.5,Produk Wajib
2025-07-15,food,3,0.0,0.0,Peluang Terlewatkan
2025-07-16,electronics,2,7.0,3.5,Produk Wajib
2025-07-16,food,1,0.0,0.0,Produk Wajib
2025-07-17,electronics,3,65.0,21.666666666666668,Produk Wajib
